accepted,years,Teff_K,luminosity_Lsun,radius_Rsun,nuclear_fraction
1104,167041468.28575125,2899.185390661127,0.0016664822414650645,0.16180857411104152,0.09395522554764266
1105,167341468.28575125,2898.997638934175,0.0016643232022515568,0.16172466917876308,0.09444382273433655
1106,167641468.28575125,2898.8092828234016,0.0016621694893153673,0.16164099948675129,0.0949338205744773
1107,167941468.28575125,2898.620642595599,0.0016600218814961717,0.16155756758083764,0.09542517184446396
1108,168241468.28575125,2898.4320790753272,0.0016578810947580655,0.1614743686087924,0.09591783274977701
1109,168541468.28575125,2898.2402385642213,0.0016557388650349821,0.16139137393454214,0.09641227980205035
1110,168841468.28575125,2898.049249744046,0.0016536055039869314,0.16130862607514698,0.09690791294048216
1111,169141468.28575125,2897.8599643937205,0.0016514829334689912,0.16122612503280423,0.09740461461347467
1112,169441468.28575125,2897.665339219681,0.001649354427548837,0.16114383843049046,0.09790336766416212
1113,169741468.28575125,2897.4682673928532,0.0016472268656727315,0.16106177931905002,0.09840377000091716
1114,170041468.28575125,2897.269036576621,0.0016451008858147608,0.16097994652919503,0.09890578488864661
1115,170341468.28575125,2897.0711242894017,0.001642984582633139,0.1608983498480446,0.09940892505324125
1116,170641468.28575125,2896.875752518661,0.0016408808411815428,0.16081699611594916,0.09991300985017833
1117,170941468.28575125,2896.6764325791232,0.0016387742088095826,0.16073584926745832,0.10041897361566869
1118,171241468.28575125,2896.475490326542,0.0016366703324378039,0.1606549273749687,0.1009264740781111
1119,171541468.28575125,2896.27304683575,0.0016345694894872498,0.16057423055906858,0.10143549227763322
1120,171841468.28575125,2896.069008471838,0.0016324714353610236,0.16049375714446792,0.10194604433336382
1121,172141468.28575125,2895.863256372666,0.0016303757137927652,0.16041349778354586,0.1024581591143035
1122,172441468.28575125,2895.655726017949,0.0016282821509145857,0.1603334509228045,0.10297184785869211
1123,172741468.28575125,2895.4436839671384,0.0016261845468788243,0.16025361348650372,0.10348750424795804
1124,173041468.28575125,2895.2265428693836,0.001624081596209086,0.16017398481191067,0.10400521670042648
1125,173341468.28575125,2895.011994893634,0.0016219911068837748,0.16009459147878724,0.10452384920894699
1126,173641468.28575125,2894.803359149838,0.001619920748997782,0.16001544703096574,0.105042895643291
1127,173941468.28575125,2894.601305583885,0.0016178720105009794,0.15993655398237366,0.10556224339740013
1128,174241468.28575125,2894.4047034573014,0.0016158422252394561,0.15985790859401766,0.10608204834582748
1129,174541468.28575125,2894.2114279386333,0.0016138263056629783,0.15977949638619013,0.10660262997657668
1130,174841468.28575125,2894.022290337025,0.0016118260994591178,0.1597013212315373,0.10712385458659084
1131,175141468.28575125,2893.8430518170085,0.0016098549071613857,0.1596234091531939,0.1076448229779685
1132,175441468.28575125,2893.668643002223,0.0016079009858276283,0.15954574099334404,0.10816629682077451
1133,175741468.28575125,2893.4972914288924,0.001605959961870734,0.15946829739636217,0.10868855749789073
1134,176041468.28575125,2893.3276927146444,0.0016040288332185985,0.1593910746072283,0.1092117980112055
1135,176341468.28575125,2893.1597959408114,0.0016021074577800478,0.15931407234587344,0.10973602022786563
1136,176641468.28575125,2892.9934997778796,0.0016001955354972193,0.1592372879891678,0.11026123749546914
1137,176941468.28575125,2892.822599669987,0.0015982786712643818,0.159160688630421,0.11078843832850004
1138,177241468.28575125,2892.6487738346045,0.0015963607385398753,0.15908428138325265,0.11131735798046193
1139,177541468.28575125,2892.4793696410834,0.0015944586559674737,0.1590081013976908,0.1118468170215067
1140,177841468.28575125,2892.276128470529,0.0015924854213385268,0.158932014138523,0.11238292366263519
