mass_g,radius_cm,density_g_cm3,temperature_K,luminosity_erg_s,X,Y3,Y4
2.7467814659547587e+29,596421883.2302105,307.17465221219584,8403449.697630757,8.94293389475138e+28,0.15270519184465292,0.00024263492426388638,0.8270521732310834
2.952933521371839e+29,611078154.3964156,306.9388782086795,8400189.28108076,9.60211421350604e+28,0.15275134041150415,0.00024339601781998404,0.827005263570676
3.171404128503645e+29,625890560.6396381,306.69500585771726,8396815.750450943,1.0299188191174138e+29,0.15279907636146725,0.0002441863369019525,0.826956737301631
3.402736021363415e+29,640858300.3110453,306.4428855054725,8393326.949559312,1.1035663029119277e+29,0.1528484340524207,0.0002450066990467056,0.8269065592485327
3.647486521854509e+29,655980572.0920556,306.1824410374725,8389720.725471588,1.1813070458494541e+29,0.152899267422953,0.0002458576467283527,0.8268548749303188
3.9062275870163885e+29,671256577.1470536,305.91343690429346,8385994.929559617,1.2632966402810847e+29,0.15295182684266662,0.0002467403888582132,0.8268014327684754
4.179545844816688e+29,686685518.4408906,305.6358269800122,8382147.418343698,1.349692938819458e+29,0.15300589554146857,0.00024765539188553905,0.8267464490666461
4.468042618235153e+29,702266600.9567857,305.349369474812,8378176.054413525,1.4406559247121648e+29,0.15306174400213257,0.00024860394276266987,0.8266896520551049
4.772333937390485e+29,717999032.9379586,305.05397162226654,8374078.707322649,1.5363476328791364e+29,0.15311927557930757,0.0002495867487092382,0.8266311376719834
5.093050539468013e+29,733882021.806446,304.7495545267908,8369853.254368334,1.6369317759070214e+29,0.153178361211867,0.00025060448383423014,0.826571034304299
5.430837856212521e+29,749914778.3250873,304.4358667714061,8365497.5818247,1.742573792888335e+29,0.1532393037920708,0.0002516585634087118,0.8265090376445208
5.7863559887585956e+29,766096516.755447,304.11282626036376,8361009.585706001,1.853440700916911e+29,0.15330198804176168,0.00025274973478840935,0.8264452622234502
6.1602796695766044e+29,782426451.8652433,303.780298467682,8356387.172517832,1.969700739517894e+29,0.15336643217266915,0.00025387899263953017,0.8263796888346916
6.553298211322933e+29,798903800.3663344,303.4381505069638,8351628.260363429,2.0915232571703763e+29,0.15343265361535932,0.00025504735756153886,0.8263122990270794
6.966115442388407e+29,815527780.9139458,303.0862512160937,8346730.779886519,2.219078510885448e+29,0.15350066898826642,0.00025625587707996095,0.8262430751346538
7.39944962895016e+29,832297614.1045564,302.7244712415612,8341692.675219029,2.352537457221419e+29,0.1535704940667926,0.0002575056266799259,0.8261720003065277
7.854033383339317e+29,849212522.4724704,302.35268312236553,8336511.904933716,2.4920715348571683e+29,0.1536421437525129,0.000258797710881967,0.8260990585366054
8.33061355854704e+29,866271730.485054,301.9707613733893,8331186.443001479,2.6378524388686964e+29,0.1537156320425231,0.00026013326436166864,0.8260242346931155
8.829951128701239e+29,883474464.5366023,301.57858256820606,8325714.279753615,2.7900518868784402e+29,0.15379097199896233,0.00026151345311477617,0.8259475145479231
9.352821055356466e+29,900819953.2599448,301.1760141192808,8320093.422850607,2.9488414032862726e+29,0.1538682042028343,0.00026293952509241455,0.8258688562720735
9.900012139448878e+29,918307431.1756842,300.7628086363415,8314321.898238443,3.1143923826124744e+29,0.15394766377664099,0.0002644132784075712,0.8257879229449516
1.0472326858780823e+30,935936129.9547336,300.33914154043737,8308397.750551471,3.286875130987972e+29,0.15402862392373284,0.00026593469854442695,0.825705441377723
1.1070581190910219e+30,953705279.0629963,299.9047475928964,8302319.044691143,3.4664585910457464e+29,0.1541114739066917,0.0002675057491918296,0.8256210203441167
1.1695604421328659e+30,971614117.3084508,299.4594126830597,8296083.867451,3.65331108467323e+29,0.15419648075720702,0.00026912823106581225,0.8255343910117273
1.2348238936830485e+30,989661887.7290692,299.0030488739458,8289690.32751232,3.847599657617903e+29,0.15428359813897521,0.00027080343825654565,0.8254455984227684
1.3029340003978886e+30,1007847827.383684,298.53578860680875,8283136.555996177,4.049488828337956e+29,0.15437222441633233,0.0002725317112506678,0.8253552438724172
1.3739775532597025e+30,1026171177.4777938,298.0572128715009,8276420.708599564,4.259141206839087e+29,0.15446316467602644,0.0002743159454024907,0.8252625193785713
1.4480425824214795e+30,1044631180.778093,297.5675438749576,8269540.966264697,4.476716971841517e+29,0.15455559862174342,0.00027615616907352385,0.8251682452091833
1.5252183305425573e+30,1063227082.8403925,297.0663275891186,8262495.536253647,4.7023736938888875e+29,0.15465043537755208,0.00027805557803315306,0.825071509044415
1.6055952246112864e+30,1081958133.9720256,296.55372807282214,8255282.653066761,4.9362662729142106e+29,0.15474701343862282,0.00028001457523311654,0.8249729719861443
1.6892648462523565e+30,1100823583.1556666,296.02949092864424,8247900.578966113,5.178545983498855e+29,0.15484574685542665,0.000282035572822291,0.8248722175717513
1.7763199005180857e+30,1119822684.0579984,295.49359518036545,8240347.6055154605,5.429360822439598e+29,0.15494645913019142,0.00028411995823346983,0.8247694209115752
1.8668541831639235e+30,1138954689.8913853,294.94595338217783,8232622.05411567,5.6888546272249945e+29,0.15504915045750942,0.0002862694976746229,0.8246645800448161
1.960962546410365e+30,1158218851.3107405,294.3866154799654,8224722.277260034,5.957166469687178e+29,0.15515347325261972,0.0002884853599384424,0.824558041387442
2.0587408631947534e+30,1177614425.1852455,293.815228859554,8216646.660359446,6.234431372082343e+29,0.15526012546637014,0.00029077074202354795,0.8244491037916065
2.1602859899177893e+30,1197140674.9135208,293.23183983031464,8208393.622215562,6.520780112917671e+29,0.15536878394188958,0.0002931269881535396,0.8243380890699571
2.2656957276917694e+30,1216796859.1187193,292.6364446192706,8199961.615112152,6.816337491363381e+29,0.15547926044201557,0.000295555751110983,0.8242251838068737
