pulse_years,Teff_K,radius_cm,photon_luminosity_erg_s,nuclear_power_erg_s,logg,run
2653921.0404936955,6253.549758963693,8313785443.8583355,7.5322662794249045e+31,2.61048061033288e+31,5.283314009302467,39
2662043.361423852,6252.5671180669515,8304127832.091825,7.510054731631154e+31,2.6014911794773095e+31,5.284323582021041,40
2670165.682354009,6251.584319430656,8294518965.433708,7.487974941680196e+31,2.5925624899060142e+31,5.285329225019298,40
2681251.7333144792,6250.24465309992,8281499364.52209,7.458089922903852e+31,2.5804736710352e+31,5.286693688277657,40
2692337.78427495,6248.904812685632,8268568650.234856,7.428444974722448e+31,2.5684955225717294e+31,5.2880509610090325,40
2705137.78427495,6247.359187331678,8253758783.887319,7.39453808377202e+31,2.554801913875438e+31,5.289608089078468,40
2717937.78427495,6245.812942422885,8239063710.372112,7.360938954625776e+31,2.5412518208563533e+31,5.291155911721894,40
2730737.78427495,6244.266059062493,8224481588.513575,7.327642347520071e+31,2.5278431375496247e+31,5.292694568578289,40
2743537.78427495,6242.718458743613,8210010808.792734,7.294643206665648e+31,2.51457379271275e+31,5.29422417624826,40
2756337.78427495,6241.1703553847765,8195649779.281973,7.261937918956236e+31,2.5014417527293668e+31,5.29574485075705,40
2769137.78427495,6239.621569162882,8181397119.002245,7.229521445792408e+31,2.4884450218155126e+31,5.297256687002763,40
2781937.78427495,6238.072057891439,8167251431.937438,7.197389410240885e+31,2.4755816351754253e+31,5.298759782588661,40
2794737.78427495,6236.521940469547,8153211324.246537,7.165538221383032e+31,2.4628496651186126e+31,5.300254235997438,40
2807537.78427495,6234.971278400678,8139275779.848118,7.133964716804658e+31,2.450247219240075e+31,5.3017401065024865,40
2820337.78427495,6233.420065281199,8125443530.71968,7.102665010087961e+31,2.4377724388149044e+31,5.303217481132163,40
2833137.78427495,6231.868333093801,8111713318.525152,7.071635441498845e+31,2.425423498627109e+31,5.304686446879817,40
2845937.78427495,6230.316166663412,8098083926.041866,7.040872693771076e+31,2.4131986065640705e+31,5.3061470873191166,40
2858737.78427495,6228.7638254203375,8084554209.450667,7.010374390104263e+31,2.401096003785445e+31,5.307599479092859,40
2871537.78427495,6227.211457109799,8071122902.097815,6.980137453206577e+31,2.3891139655808433e+31,5.309043712961045,40
2884337.78427495,6225.658881911044,8057788555.133604,6.950157051873593e+31,2.37725079400255e+31,5.310479900304765,40
2897137.78427495,6224.105884768128,8044550105.3261,6.9204289115189685e+31,2.365504815257715e+31,5.311908111974378,40
2909937.78427495,6222.5526083768655,8031406436.712511,6.890950296477375e+31,2.3538743886670405e+31,5.313328425349283,40
2922737.78427495,6220.999164356421,8018356453.087434,6.861718387467488e+31,2.3423579039126004e+31,5.314740916528174,40
